country,region,region_code,province,province_code,comune,comune_code,population,total_deaths,expected_deaths,excess_deaths,excess_deaths_pct,excess_deaths_per_100,cases_2020_09_01,cases_2020_10_25,second_wave_cases,second_wave_cases_per_100k
Italy,Lombardy,3,Bergamo,16,Sotto il Monte Giovanni XXIII,16203,4516,32,7.8,24.2,3.1025641025641,0.535872453498671,55,58,3,66.4304694419841
Italy,Lombardy,3,Bergamo,16,Sovere,16204,5324,58,22.6,35.4,1.56637168141593,0.664913598797896,94,103,9,169.045830202855
Italy,Lombardy,3,Bergamo,16,Spinone al Lago,16205,1010,6,3.6,2.4,0.666666666666667,0.237623762376238,12,12,0,0
Italy,Lombardy,3,Bergamo,16,Spirano,16206,5802,45,11,34,3.09090909090909,0.586004825922096,69,80,11,189.589796621855
Italy,Lombardy,3,Bergamo,16,Stezzano,16207,13234,104,34.8,69.2,1.98850574712644,0.522895572011486,173,203,30,226.688831796887
Italy,Lombardy,3,Bergamo,16,Strozza,16208,1068,7,2.8,4.2,1.5,0.393258426966292,13,13,0,0
Italy,Lombardy,3,Bergamo,16,Suisio,16209,3816,25,8.4,16.6,1.97619047619048,0.435010482180294,42,50,8,209.643605870021
Italy,Lombardy,3,Bergamo,16,Taleggio,16210,545,10,4.2,5.8,1.38095238095238,1.06422018348624,10,10,0,0
Italy,Lombardy,3,Bergamo,16,Tavernola Bergamasca,16211,2026,24,7.8,16.2,2.07692307692308,0.799605133267522,34,34,0,0
Italy,Lombardy,3,Bergamo,16,Telgate,16212,5068,32,9,23,2.55555555555556,0.453827940015785,58,65,7,138.121546961326
Italy,Lombardy,3,Bergamo,16,Terno d'Isola,16213,8062,25,16.2,8.8,0.54320987654321,0.109154056065492,75,84,9,111.634830066981
Italy,Lombardy,3,Bergamo,16,Torre Boldone,16214,8777,114,32.6,81.4,2.49693251533742,0.927423948957503,144,152,8,91.1473168508602
Italy,Lombardy,3,Bergamo,16,Torre de' Busi,16215,2126,4,4.4,-0.4,-0.0909090909090909,-0.0188146754468485,15,15,0,0
