comune,comune_code,date,cases
Dovera,19041,21/10/2020,44
Dresano,15101,21/10/2020,50
Dubino,14027,21/10/2020,111
Dumenza,12065,21/10/2020,8
Edolo,17068,21/10/2020,92
Ello,97033,21/10/2020,11
Endine Gaiano,16093,21/10/2020,46
Entratico,16094,21/10/2020,24
Erba,13095,21/10/2020,303
Erbusco,17069,21/10/2020,97
Erve,97034,21/10/2020,6
Esine,17070,21/10/2020,144
Esino Lario,97035,21/10/2020,6
Eupilio,13097,21/10/2020,19
Faggeto Lario,13098,21/10/2020,7
Fagnano Olona,12067,21/10/2020,69
Faloppio,13099,21/10/2020,17
Fara Gera d'Adda,16096,21/10/2020,74
Fara Olivana con Sola,16097,21/10/2020,18
Ferno,12068,21/10/2020,23
Ferno,12068,21/10/2020,70
Ferrera Erbognone,18062,21/10/2020,27
Fiesco,19043,21/10/2020,22
Fiesse,17071,21/10/2020,18
Figino Serenza,13101,21/10/2020,43
Filago,16098,21/10/2020,40
Filighera,18063,21/10/2020,6
Fino del Monte,16099,21/10/2020,18
Fino Mornasco,13102,21/10/2020,93
Fiorano al Serio,16100,21/10/2020,56
Flero,17072,21/10/2020,92
Fombio,98026,21/10/2020,43
Fontanella,16101,21/10/2020,33
Fonteno,16102,21/10/2020,8
Forcola,14029,21/10/2020,9
Foresto Sparso,16104,21/10/2020,41
Formigara,19044,21/10/2020,22
Fornovo San Giovanni,16105,21/10/2020,36
Fortunago,18064,21/10/2020,5
Frascarolo,18065,21/10/2020,39
Fusine,14030,21/10/2020,6
Gabbioneta-Binanuova,19045,21/10/2020,28
Gadesco-Pieve Delmona,19046,21/10/2020,30
Gaggiano,15103,21/10/2020,97
Galbiate,97036,21/10/2020,158
Galgagnano,98027,21/10/2020,20
Gallarate,12070,21/10/2020,443
Galliate Lombardo,12071,21/10/2020,4
Gambara,17073,21/10/2020,45
Gambolò,18068,21/10/2020,129
Gandellino,16107,21/10/2020,13
Gandino,16108,21/10/2020,88
Gandosso,16109,21/10/2020,24
Garbagnate Milanese,15105,21/10/2020,420
Garbagnate Monastero,97037,21/10/2020,31
Gardone Riviera,17074,21/10/2020,28
Gardone Val Trompia,17075,21/10/2020,184
Gargnano,17076,21/10/2020,12
Garlasco,18069,21/10/2020,154
Garlate,97038,21/10/2020,19
Garzeno,13106,21/10/2020,12
Gavardo,17077,21/10/2020,186
Gaverina Terme,16110,21/10/2020,12
Gavirate,12072,21/10/2020,117
Gazoldo degli Ippoliti,20024,21/10/2020,46
Gazzada Schianno,12073,21/10/2020,22
Gazzaniga,16111,21/10/2020,132
Gazzuolo,20025,21/10/2020,25
Gemonio,12074,21/10/2020,10
Genivolta,19047,21/10/2020,12
Gera Lario,13107,21/10/2020,8
Gerenzago,18071,21/10/2020,17
Gerenzano,12075,21/10/2020,74
Germignaga,12076,21/10/2020,29
Gerre de' Caprioli,19048,21/10/2020,30
Gessate,15106,21/10/2020,106
Ghedi,17078,21/10/2020,260
Ghisalba,16113,21/10/2020,54
Gianico,17079,21/10/2020,49
Giussago,18072,21/10/2020,36
Giussano,108024,21/10/2020,306
Godiasco Salice Terme,18073,21/10/2020,25
Goito,20026,21/10/2020,119
Golasecca,12077,21/10/2020,18
Gombito,19049,21/10/2020,8
Gonzaga,20027,21/10/2020,61
Gordona,14032,21/10/2020,11
Gorgonzola,15108,21/10/2020,269
